"","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10","a11","a12","a13","a14","a15","a16","a17","a18","a19","a20","a21","a22","a23","a24","a25","a26","a27","a28","a29","a30","a31","a32","a33","a34","a35","a36","a37","a38","a39","a40","a41","a42","a43","a44","a45","a46","a47","a48","a49","a50","a51","a52","a53","a54","a55","a56","a57","a58","a59","a60","a61","a62","a63","a64","a65","a66","a67","a68","a69","a70"
"a1",0,1,1,1,1,2,1,2,2,1,1,2,1,2,2,2,2,2,2,2,1,2,0,2,2,2,2,2,0,2,2,1,2,2,0,0,2,0,0,2,2,2,2,2,0,2,1,1,0,1,2,1,0,0,2,1,2,1,2,1,2,2,0,2,0,1,1,0,0,0
"a2",-1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,-1,1,1,0,1,1,-1,-1,1,-1,-1,1,1,1,1,1,-1,1,0,0,-1,0,1,0,-1,-1,1,0,1,0,1,0,1,1,-1,1,-1,0,0,-1,-1,-1
"a3",-1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,-1,1,1,0,1,1,-1,-1,1,-1,-1,1,1,1,1,1,-1,1,0,0,-1,0,1,0,-1,-1,1,0,1,0,1,0,1,1,-1,1,-1,0,0,-1,-1,-1
"a4",-1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,-1,1,1,0,1,1,-1,-1,1,-1,-1,1,1,1,1,1,-1,1,0,0,-1,0,1,0,-1,-1,1,0,1,0,1,0,1,1,-1,1,-1,0,0,-1,-1,-1
"a5",-1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,-1,1,1,0,1,1,-1,-1,1,-1,-1,1,1,1,1,1,-1,1,0,0,-1,0,1,0,-1,-1,1,0,1,0,1,0,1,1,-1,1,-1,0,0,-1,-1,-1
"a6",-2,-1,-1,-1,-1,0,-1,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,-1,0,-2,0,0,0,0,0,-2,0,0,-1,0,0,-2,-2,0,-2,-2,0,0,0,0,0,-2,0,-1,-1,-2,-1,0,-1,-2,-2,0,-1,0,-1,0,-1,0,0,-2,0,-2,-1,-1,-2,-2,-2
"a7",-1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,-1,1,1,0,1,1,-1,-1,1,-1,-1,1,1,1,1,1,-1,1,0,0,-1,0,1,0,-1,-1,1,0,1,0,1,0,1,1,-1,1,-1,0,0,-1,-1,-1
"a8",-2,-1,-1,-1,-1,0,-1,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,-1,0,-2,0,0,0,0,0,-2,0,0,-1,0,0,-2,-2,0,-2,-2,0,0,0,0,0,-2,0,-1,-1,-2,-1,0,-1,-2,-2,0,-1,0,-1,0,-1,0,0,-2,0,-2,-1,-1,-2,-2,-2
"a9",-2,-1,-1,-1,-1,0,-1,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,-1,0,-2,0,0,0,0,0,-2,0,0,-1,0,0,-2,-2,0,-2,-2,0,0,0,0,0,-2,0,-1,-1,-2,-1,0,-1,-2,-2,0,-1,0,-1,0,-1,0,0,-2,0,-2,-1,-1,-2,-2,-2
"a10",-1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,-1,1,1,0,1,1,-1,-1,1,-1,-1,1,1,1,1,1,-1,1,0,0,-1,0,1,0,-1,-1,1,0,1,0,1,0,1,1,-1,1,-1,0,0,-1,-1,-1
